disc,distance,value,area,condition,relativedistance,adjreldistance
MAX_17C_14dec_13.oif,69.606,2513.893,167107.187,cold,-1.243,-0.9615537465
MAX_17C_14dec_13.oif,70.849,2538.694,167107.187,cold,0,0
MAX_17C_14dec_13.oif,72.092,2512.398,167107.187,cold,1.243,0.9615537465
MAX_17C_14dec_13.oif,73.335,2440.829,167107.187,cold,2.486,1.923107493
MAX_17C_14dec_13.oif,74.578,2460.859,167107.187,cold,3.729,2.88466124
MAX_17C_14dec_13.oif,75.821,2487.825,167107.187,cold,4.972,3.846214986
MAX_17C_14dec_13.oif,77.064,2445.401,167107.187,cold,6.215,4.807768733
MAX_17C_14dec_13.oif,78.307,2454.538,167107.187,cold,7.458,5.769322479
MAX_17C_14dec_13.oif,79.55,2463.641,167107.187,cold,8.701,6.730876226
MAX_17C_14dec_13.oif,80.793,2465.599,167107.187,cold,9.944,7.692429972
MAX_17C_14dec_13.oif,82.036,2417.588,167107.187,cold,11.187,8.653983719
MAX_17C_14dec_13.oif,83.279,2422.722,167107.187,cold,12.43,9.615537465
MAX_17C_14dec_13.oif,84.522,2387.027,167107.187,cold,13.673,10.57709121
MAX_17C_14dec_13.oif,85.765,2361.051,167107.187,cold,14.916,11.53864496
MAX_17C_14dec_13.oif,87.008,2325.736,167107.187,cold,16.159,12.5001987
MAX_17C_14dec_13.oif,88.251,2332.011,167107.187,cold,17.402,13.46175245
MAX_17C_14dec_13.oif,89.494,2334.005,167107.187,cold,18.645,14.4233062
MAX_17C_14dec_13.oif,90.737,2331.42,167107.187,cold,19.888,15.38485994
MAX_17C_14dec_13.oif,91.98,2347.884,167107.187,cold,21.131,16.34641369
MAX_17C_14dec_13.oif,93.223,2364.178,167107.187,cold,22.374,17.30796744
MAX_17C_14dec_13.oif,94.466,2316.682,167107.187,cold,23.617,18.26952118
MAX_17C_14dec_13.oif,95.709,2317.224,167107.187,cold,24.86,19.23107493
MAX_17C_14dec_13.oif,96.952,2287.44,167107.187,cold,26.103,20.19262868
MAX_17C_14dec_13.oif,98.195,2328.146,167107.187,cold,27.346,21.15418242
MAX_17C_14dec_13.oif,99.438,2297.394,167107.187,cold,28.589,22.11573617
MAX_17C_14dec_13.oif,100.68,2233.165,167107.187,cold,29.831,23.07651634
MAX_17C_14dec_13.oif,101.923,2226.742,167107.187,cold,31.074,24.03807009
MAX_17C_14dec_13.oif,103.166,2230.809,167107.187,cold,32.317,24.99962383
MAX_17C_14dec_13.oif,104.409,2280.431,167107.187,cold,33.56,25.96117758
MAX_17C_14dec_13.oif,105.652,2291.723,167107.187,cold,34.803,26.92273133
MAX_17C_14dec_13.oif,106.895,2253.998,167107.187,cold,36.046,27.88428507
MAX_17C_14dec_13.oif,108.138,2228.785,167107.187,cold,37.289,28.84583882
MAX_17C_14dec_13.oif,109.381,2243.047,167107.187,cold,38.532,29.80739257
MAX_17C_14dec_13.oif,110.624,2253.936,167107.187,cold,39.775,30.76894631
MAX_17C_14dec_13.oif,111.867,2255.436,167107.187,cold,41.018,31.73050006
MAX_17C_14dec_13.oif,113.11,2283.752,167107.187,cold,42.261,32.69205381
MAX_17C_14dec_13.oif,114.353,2272.621,167107.187,cold,43.504,33.65360755
MAX_17C_14dec_13.oif,115.596,2284.629,167107.187,cold,44.747,34.6151613
MAX_17C_14dec_13.oif,116.839,2331.773,167107.187,cold,45.99,35.57671505
MAX_17C_14dec_13.oif,118.082,2300.243,167107.187,cold,47.233,36.53826879
MAX_17C_14dec_13.oif,119.325,2314.792,167107.187,cold,48.476,37.49982254
MAX_17C_14dec_13.oif,120.568,2309.829,167107.187,cold,49.719,38.46137629
MAX_17C_14dec_13.oif,121.811,2292.091,167107.187,cold,50.962,39.42293003
MAX_17C_14dec_13.oif,123.054,2316.083,167107.187,cold,52.205,40.38448378
MAX_17C_14dec_13.oif,124.297,2338.7,167107.187,cold,53.448,41.34603753
MAX_17C_14dec_13.oif,125.54,2274.931,167107.187,cold,54.691,42.30759127
MAX_17C_14dec_13.oif,126.783,2226.442,167107.187,cold,55.934,43.26914502
MAX_17C_14dec_13.oif,128.026,2127.519,167107.187,cold,57.177,44.23069876
